node,cpu,mem,cpu_percent,mem_percent
businessservices,0,3697,0.0,0.00000
ospredictiond,0,3409,0.0,0.00000
AppSSOAgent,0,12288.0,0.0,0.00000
contentlinkingd,0,4705,0.0,0.00000
CoreLocationAgen,0,6242,0.0,0.00000
proactived,0,4641,0.0,0.00000
pbs,0,2817,0.0,0.00000
axassetsd,0,10240.0,0.0,0.00000
transparencyd,0,8865,0.0,0.00000
ContextService,0,4994,0.0,0.00000
com.apple.CloudD,0,3873,0.0,0.00000
SidecarRelay,0,3889,0.0,0.00000
coreduetd,0,6930,0.0,0.00000
CoreServicesUIAg,0,9010,0.0,0.00000
syncdefaultsd,0,5697,0.0,0.00000
coreauthd,0,3569,0.0,0.00000
BiomeAgent,0,8529,0.0,0.00000
containermanager,0,4609,0.0,0.00000
countryd,0,2689,0.0,0.00000
com.apple.hiserv,0,2465,0.0,0.00000
AquaAppearanceHe,0,8258,0.0,0.00000
mobileassetd,0,8529,0.0,0.00000
usermanagerd,0,2337,0.0,0.00000
com.apple.geod,0,8945,0.0,0.00000
contactsd,0,8113,0.0,0.00000
CallHistoryPlugi,0,6833,0.0,0.00000
nehelper,0,3857,0.0,0.00000
adid,0,2001,0.0,0.00000
Google,3,1,Chrome,sleeping
routined,0,14336.0,0.0,0.00000
parsecd,0,6801,0.0,0.00000
akd,0,8305,0.0,0.00000
wifip2pd,0,3521,0.0,0.00000
com.apple.appkit,0,29696.0,0.0,0.00000
rcd,0,3873,0.0,0.00000
Google,5,1,Chrome,sleeping
Spotify,0,75,Helper,*0[2]
Spotify,0,215,Helper,*0[6]
Spotify,2,1,Helper,sleeping
Spotify,0,74,Helper,*0[2]
Spotify,0,104,Helper,*0[2]
Spotify,12,2,Helper,sleeping
Spotify,0,34,Helper,*0[1]
Spotify,0,149504.0,0.0,0.00000
intelligentrouti,0,4673,0.0,0.00000
audioanalyticsd,0,4337,0.0,0.00000
netbiosd,0,2993,0.0,0.00000
suggestd,0,12288.0,0.0,0.00000
triald,0,5921,0.0,0.00000
knowledge-agent,0,10240.0,0.0,0.00000
Keychain,0,151,Circle,*0[1]
aned,0,3105,0.0,0.00000
bird,0,7585,0.0,0.00000
Google,3,1,Chrome,sleeping
coreautha,0,9442,0.0,0.00000
SiriNCService,0,6785,0.0,0.00000
audioaccessoryd,0,7169,0.0,0.00000
Siri,0,9218,0.0,0.00000
containermanager,0,7361,0.0,0.00000
callservicesd,0,13312.0,0.0,0.00000
cloudphotod,0,7841,0.0,0.00000
talagent,0,6897,0.0,0.00000
IOUserBluetoothS,0,1537,0.0,0.00000
IOUserBluetoothS,0,1537,0.0,0.00000
IOUserBluetoothS,0,1489,0.0,0.00000
PerfPowerService,0,16384.0,0.0,0.00000
bluetoothd,0,13312.0,0.0,0.00000
logd_helper,0,2673,0.0,0.00000
rtcreportingd,0,5313,0.0,0.00000
com.apple.audio.,0,2337,0.0,0.00000
ContextStoreAgen,0,7250,0.0,0.00000
UniversalControl,0,9201,0.0,0.00000
networkservicepr,0,8177,0.0,0.00000
backupd,0,2913,0.0,0.00000
tccd,0,5138,0.0,0.00000
com.apple.audio.,0,3521,0.0,0.00000
biomed,0,4849,0.0,0.00000
VTDecoderXPCServ,0,23552.0,0.0,0.00000
Photo,0,613,Booth,*2006[14778]
com.apple.CodeSi,0,2305,0.0,0.00000
storeuid,0,13312.0,0.0,0.00000
Notes,0,75776.0,0.0,0.00000
Bluetooth,0,40960.0,0.0,0.00000
bluetoothuserd,0,4929,0.0,0.00000
audiomxd,0,6481,0.0,0.00000
MySQLWorkbench,0,200704.0,0.0,0.00000
Google,8,1,Chrome,sleeping
LoginItems,0,24576.0,0.0,0.00000
grafana,0,716800.0,0.0,0.00000
logd_reporter,0,1761,0.0,0.00000
IMAutomaticHisto,0,4161,0.0,0.00000
mbuseragent,0,2385,0.0,0.00000
Google,3,1,Chrome,sleeping
Terminal,0,52224.0,0.0,0.00000
Google,7,1,Chrome,sleeping
cron,0,1537,0.0,0.00000
DesktopServicesH,0,2401,0.0,0.00000
com.apple.WebKit,0,10240.0,0.0,0.00000
studentd,0,13312.0,0.0,0.00000
ClassroomSetting,0,8226,0.0,0.00000
VPN,0,8178,0.0,0.00000
FollowUpSettings,0,8290,0.0,0.00000
HeadphoneSetting,0,7937,0.0,0.00000
FamilySettings,0,13312.0,0.0,0.00000
Appearance,0,21504.0,0.0,0.00000
AppleIDSettings,0,20480.0,0.0,0.00000
System,0,333,Settings,*0[2487]
Google,7,1,Chrome,sleeping
CharacterPalette,0,71680.0,0.0,0.00000
Google,3,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
VTDecoderXPCServ,0,17408.0,0.0,0.00000
Python,0,31744.0,0.0,0.00000
photoanalysisd,0,13312.0,0.0,0.00000
Freeform,0,69632.0,0.0,0.00000
